[2025-11-26T03:48:04.752+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:48:04.796+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-11-26T03:46:00+00:00 [queued]>
[2025-11-26T03:48:04.805+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-11-26T03:46:00+00:00 [queued]>
[2025-11-26T03:48:04.806+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-11-26T03:48:04.822+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): load_snowflake> on 2025-11-26 03:46:00+00:00
[2025-11-26T03:48:04.841+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=351) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-11-26T03:48:04.837+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'load_snowflake', 'scheduled__2025-11-26T03:46:00+00:00', '--job-id', '3', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmpao0tc5v9']
[2025-11-26T03:48:04.844+0000] {standard_task_runner.py:64} INFO - Started process 361 to run task
[2025-11-26T03:48:04.845+0000] {standard_task_runner.py:91} INFO - Job 3: Subtask load_snowflake
[2025-11-26T03:48:04.949+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.load_snowflake scheduled__2025-11-26T03:46:00+00:00 [running]> on host 7117a22c6018
[2025-11-26T03:48:05.079+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='load_snowflake' AIRFLOW_CTX_EXECUTION_DATE='2025-11-26T03:46:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-11-26T03:46:00+00:00'
[2025-11-26T03:48:05.081+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-11-26T03:48:05.118+0000] {connection.py:408} INFO - Snowflake Connector for Python Version: 3.11.0, Python Version: 3.12.4, Platform: Linux-6.6.87.2-microsoft-standard-WSL2-x86_64-with-glibc2.36
[2025-11-26T03:48:05.119+0000] {connection.py:1258} INFO - This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
[2025-11-26T03:48:08.295+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127061.json to Snowflake stage
[2025-11-26T03:48:08.492+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127070.json to Snowflake stage
[2025-11-26T03:48:08.729+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127081.json to Snowflake stage
[2025-11-26T03:48:08.937+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127092.json to Snowflake stage
[2025-11-26T03:48:09.120+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127101.json to Snowflake stage
[2025-11-26T03:48:09.321+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127111.json to Snowflake stage
[2025-11-26T03:48:09.512+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127120.json to Snowflake stage
[2025-11-26T03:48:10.061+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127130.json to Snowflake stage
[2025-11-26T03:48:10.262+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127140.json to Snowflake stage
[2025-11-26T03:48:10.445+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127149.json to Snowflake stage
[2025-11-26T03:48:10.647+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127161.json to Snowflake stage
[2025-11-26T03:48:10.863+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127170.json to Snowflake stage
[2025-11-26T03:48:11.050+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127180.json to Snowflake stage
[2025-11-26T03:48:11.215+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127189.json to Snowflake stage
[2025-11-26T03:48:11.414+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127199.json to Snowflake stage
[2025-11-26T03:48:11.685+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127209.json to Snowflake stage
[2025-11-26T03:48:11.884+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127221.json to Snowflake stage
[2025-11-26T03:48:12.066+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127231.json to Snowflake stage
[2025-11-26T03:48:12.243+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127241.json to Snowflake stage
[2025-11-26T03:48:12.413+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127251.json to Snowflake stage
[2025-11-26T03:48:12.588+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127261.json to Snowflake stage
[2025-11-26T03:48:12.776+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127270.json to Snowflake stage
[2025-11-26T03:48:12.949+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127281.json to Snowflake stage
[2025-11-26T03:48:13.128+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127291.json to Snowflake stage
[2025-11-26T03:48:13.310+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127301.json to Snowflake stage
[2025-11-26T03:48:13.484+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127311.json to Snowflake stage
[2025-11-26T03:48:13.753+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127321.json to Snowflake stage
[2025-11-26T03:48:13.997+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127330.json to Snowflake stage
[2025-11-26T03:48:14.204+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127340.json to Snowflake stage
[2025-11-26T03:48:14.385+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127350.json to Snowflake stage
[2025-11-26T03:48:14.565+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127063.json to Snowflake stage
[2025-11-26T03:48:14.771+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127073.json to Snowflake stage
[2025-11-26T03:48:14.995+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127084.json to Snowflake stage
[2025-11-26T03:48:15.524+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127093.json to Snowflake stage
[2025-11-26T03:48:15.751+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127103.json to Snowflake stage
[2025-11-26T03:48:15.948+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127113.json to Snowflake stage
[2025-11-26T03:48:16.206+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127123.json to Snowflake stage
[2025-11-26T03:48:16.398+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127132.json to Snowflake stage
[2025-11-26T03:48:16.577+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127142.json to Snowflake stage
[2025-11-26T03:48:16.782+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127153.json to Snowflake stage
[2025-11-26T03:48:16.963+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127163.json to Snowflake stage
[2025-11-26T03:48:17.139+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127172.json to Snowflake stage
[2025-11-26T03:48:17.317+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127182.json to Snowflake stage
[2025-11-26T03:48:17.501+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127192.json to Snowflake stage
[2025-11-26T03:48:17.708+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127202.json to Snowflake stage
[2025-11-26T03:48:17.897+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127212.json to Snowflake stage
[2025-11-26T03:48:18.086+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127223.json to Snowflake stage
[2025-11-26T03:48:18.291+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127233.json to Snowflake stage
[2025-11-26T03:48:18.490+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127243.json to Snowflake stage
[2025-11-26T03:48:18.669+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127253.json to Snowflake stage
[2025-11-26T03:48:18.840+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127263.json to Snowflake stage
[2025-11-26T03:48:19.004+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127273.json to Snowflake stage
[2025-11-26T03:48:19.202+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127284.json to Snowflake stage
[2025-11-26T03:48:19.384+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127294.json to Snowflake stage
[2025-11-26T03:48:19.558+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127304.json to Snowflake stage
[2025-11-26T03:48:19.773+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127313.json to Snowflake stage
[2025-11-26T03:48:19.986+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127323.json to Snowflake stage
[2025-11-26T03:48:20.189+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127333.json to Snowflake stage
[2025-11-26T03:48:20.400+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127343.json to Snowflake stage
[2025-11-26T03:48:20.840+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127352.json to Snowflake stage
[2025-11-26T03:48:21.020+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127062.json to Snowflake stage
[2025-11-26T03:48:21.223+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127072.json to Snowflake stage
[2025-11-26T03:48:21.439+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127083.json to Snowflake stage
[2025-11-26T03:48:21.568+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127093.json to Snowflake stage
[2025-11-26T03:48:21.764+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127102.json to Snowflake stage
[2025-11-26T03:48:21.938+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127112.json to Snowflake stage
[2025-11-26T03:48:22.112+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127122.json to Snowflake stage
[2025-11-26T03:48:22.400+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127132.json to Snowflake stage
[2025-11-26T03:48:22.616+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/1764127141.json to Snowflake stage
