[2025-11-26T03:49:32.356+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2025-11-26T03:49:32.400+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:48:00+00:00 [queued]>
[2025-11-26T03:49:32.410+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:48:00+00:00 [queued]>
[2025-11-26T03:49:32.411+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2025-11-26T03:49:32.425+0000] {taskinstance.py:2330} INFO - Executing <Task(PythonOperator): download_minio> on 2025-11-26 03:48:00+00:00
[2025-11-26T03:49:32.442+0000] {logging_mixin.py:188} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:62 DeprecationWarning: This process (pid=954) is multi-threaded, use of fork() may lead to deadlocks in the child.
[2025-11-26T03:49:32.440+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'minio_to_snowflake', 'download_minio', 'scheduled__2025-11-26T03:48:00+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/minio_to_snowflake.py', '--cfg-path', '/tmp/tmppdrqrd8y']
[2025-11-26T03:49:32.444+0000] {standard_task_runner.py:64} INFO - Started process 964 to run task
[2025-11-26T03:49:32.445+0000] {standard_task_runner.py:91} INFO - Job 5: Subtask download_minio
[2025-11-26T03:49:32.536+0000] {task_command.py:426} INFO - Running <TaskInstance: minio_to_snowflake.download_minio scheduled__2025-11-26T03:48:00+00:00 [running]> on host 7117a22c6018
[2025-11-26T03:49:32.651+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='minio_to_snowflake' AIRFLOW_CTX_TASK_ID='download_minio' AIRFLOW_CTX_EXECUTION_DATE='2025-11-26T03:48:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2025-11-26T03:48:00+00:00'
[2025-11-26T03:49:32.654+0000] {taskinstance.py:430} INFO - ::endgroup::
[2025-11-26T03:49:33.012+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127061.json -> /tmp/minio_downloads/1764127061.json
[2025-11-26T03:49:33.020+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127070.json -> /tmp/minio_downloads/1764127070.json
[2025-11-26T03:49:33.029+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127081.json -> /tmp/minio_downloads/1764127081.json
[2025-11-26T03:49:33.040+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127092.json -> /tmp/minio_downloads/1764127092.json
[2025-11-26T03:49:33.050+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127101.json -> /tmp/minio_downloads/1764127101.json
[2025-11-26T03:49:33.057+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127111.json -> /tmp/minio_downloads/1764127111.json
[2025-11-26T03:49:33.066+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127120.json -> /tmp/minio_downloads/1764127120.json
[2025-11-26T03:49:33.074+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127130.json -> /tmp/minio_downloads/1764127130.json
[2025-11-26T03:49:33.083+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127140.json -> /tmp/minio_downloads/1764127140.json
[2025-11-26T03:49:33.092+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127149.json -> /tmp/minio_downloads/1764127149.json
[2025-11-26T03:49:33.103+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127161.json -> /tmp/minio_downloads/1764127161.json
[2025-11-26T03:49:33.112+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127170.json -> /tmp/minio_downloads/1764127170.json
[2025-11-26T03:49:33.121+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127180.json -> /tmp/minio_downloads/1764127180.json
[2025-11-26T03:49:33.132+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127189.json -> /tmp/minio_downloads/1764127189.json
[2025-11-26T03:49:33.142+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127199.json -> /tmp/minio_downloads/1764127199.json
[2025-11-26T03:49:33.152+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127209.json -> /tmp/minio_downloads/1764127209.json
[2025-11-26T03:49:33.161+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127221.json -> /tmp/minio_downloads/1764127221.json
[2025-11-26T03:49:33.170+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127231.json -> /tmp/minio_downloads/1764127231.json
[2025-11-26T03:49:33.179+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127241.json -> /tmp/minio_downloads/1764127241.json
[2025-11-26T03:49:33.188+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127251.json -> /tmp/minio_downloads/1764127251.json
[2025-11-26T03:49:33.197+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127261.json -> /tmp/minio_downloads/1764127261.json
[2025-11-26T03:49:33.207+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127270.json -> /tmp/minio_downloads/1764127270.json
[2025-11-26T03:49:33.218+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127281.json -> /tmp/minio_downloads/1764127281.json
[2025-11-26T03:49:33.227+0000] {logging_mixin.py:188} INFO - Downloaded AAPL/1764127291.json -> /tmp/minio_downloads/1764127291.json
